"city_name","months","total_actual_trips","total_target_trips","trip_percentage_diff","trip_target_status","avg_passenger_rating","target_avg_passenger_rating","rating_percentage_diff","rating_target_status","new_passengers","target_new_passengers","passenger_percentage_diff","passenger_target_status"
"Mysore","2024-02-01 00:00:00+00","2668",2000,"33.40","Exceeded","8.7949775112443778","8.5","3.47","Exceeded",2107,2000,"5.35","Exceeded"
"Mysore","2024-03-01 00:00:00+00","2633",2000,"31.65","Exceeded","8.7371819217622484","8.5","2.79","Exceeded",1986,2000,"-0.70","Missed"
"Mysore","2024-04-01 00:00:00+00","2603",2500,"4.12","Exceeded","8.6784479446792163","8.5","2.10","Exceeded",1836,2000,"-8.20","Missed"
"Mysore","2024-05-01 00:00:00+00","3007",2500,"20.28","Exceeded","8.6082474226804124","8.5","1.27","Exceeded",1921,2000,"-3.95","Missed"
"Mysore","2024-06-01 00:00:00+00","2842",2500,"13.68","Exceeded","8.6217452498240676","8.5","1.43","Exceeded",1874,2000,"-6.30","Missed"
"Surat","2024-01-01 00:00:00+00","8358",9000,"-7.13","Missed","6.5775305096913137","7","-6.04","Missed",2432,2000,"21.60","Exceeded"
"Surat","2024-02-01 00:00:00+00","9069",9000,"0.77","Exceeded","6.4947623773293638","7","-7.22","Missed",2254,2000,"12.70","Exceeded"
"Surat","2024-03-01 00:00:00+00","9267",9000,"2.97","Exceeded","6.3976475666342937","7","-8.61","Missed",1946,2000,"-2.70","Missed"
"Surat","2024-04-01 00:00:00+00","9831",10000,"-1.69","Missed","6.3685281253178720","7","-9.02","Missed",1843,1500,"22.87","Exceeded"
"Surat","2024-05-01 00:00:00+00","9774",10000,"-2.26","Missed","6.3280130959688971","7","-9.60","Missed",1611,1500,"7.40","Exceeded"
"Surat","2024-06-01 00:00:00+00","8544",10000,"-14.56","Missed","6.3565074906367041","7","-9.19","Missed",1540,1500,"2.67","Exceeded"
"Vadodara","2024-01-01 00:00:00+00","4775",6000,"-20.42","Missed","6.8504712041884817","7.5","-8.66","Missed",2089,1800,"16.06","Exceeded"
"Vadodara","2024-02-01 00:00:00+00","5228",6000,"-12.87","Missed","6.8037490436113236","7.5","-9.28","Missed",2146,1800,"19.22","Exceeded"
"Vadodara","2024-03-01 00:00:00+00","5598",6000,"-6.70","Missed","6.5953912111468382","7.5","-12.06","Missed",1763,1800,"-2.06","Missed"
"Vadodara","2024-04-01 00:00:00+00","5941",6500,"-8.60","Missed","6.5473825955226393","7.5","-12.70","Missed",1637,1500,"9.13","Exceeded"
"Vadodara","2024-05-01 00:00:00+00","5799",6500,"-10.78","Missed","6.4612864286946025","7.5","-13.85","Missed",1388,1500,"-7.47","Missed"
"Vadodara","2024-06-01 00:00:00+00","4685",6500,"-27.92","Missed","6.4382070437566702","7.5","-14.16","Missed",1104,1500,"-26.40","Missed"
"Visakhapatnam","2024-01-01 00:00:00+00","4468",4500,"-0.71","Missed","8.5539391226499552","8.5","0.63","Exceeded",2513,2500,"0.52","Exceeded"
"Visakhapatnam","2024-02-01 00:00:00+00","4793",4500,"6.51","Exceeded","8.4652618401836011","8.5","-0.41","Missed",2380,2500,"-4.80","Missed"
"Visakhapatnam","2024-03-01 00:00:00+00","4877",4500,"8.38","Exceeded","8.4262866516301005","8.5","-0.87","Missed",2170,2500,"-13.20","Missed"
"Visakhapatnam","2024-04-01 00:00:00+00","4938",5000,"-1.24","Missed","8.3705953827460510","8.5","-1.52","Missed",1845,2000,"-7.75","Missed"
"Visakhapatnam","2024-05-01 00:00:00+00","4812",5000,"-3.76","Missed","8.3877805486284289","8.5","-1.32","Missed",1939,2000,"-3.05","Missed"
"Visakhapatnam","2024-06-01 00:00:00+00","4478",5000,"-10.44","Missed","8.4021884769986601","8.5","-1.15","Missed",1900,2000,"-5.00","Missed"
